"Name","Runtime","model_type","seed","accuracy","best_epoch","best_val_loss","epoch","loss","lr","val_accuracy","val_loss","wrong_class","best_accuracy","best_val_accuracy"
"vgg-3","396","vgg","3","0.997319996356964","81","0.015972483903169632","106","0.005725662223994732","3.000000248221113e-8","0.9936000108718872","0.015973364934325218","16","0.996999979019165","0.9936000108718872"
"vgg-2","316","vgg","2","0.997759997844696","59","0.01396082155406475","84","0.004465470090508461","3.000000106112566e-7","0.9936000108718872","0.014429532922804356","26","0.9973999857902528","0.9937999844551086"
"vgg-1","524","vgg","1","0.9971200227737428","134","0.01699448935687542","141","0.005869310814887285","3.000000248221113e-8","0.9936000108718872","0.017009183764457703","31","0.9976000189781188","0.9936000108718872"
"vgg-0","406","vgg","0","0.997319996356964","84","0.015685878694057465","109","0.005595656577497721","3.000000248221113e-8","0.993399977684021","0.015973255038261414","19","0.9970800280570984","0.9937999844551086"
"cnn6-4","1731","cnn6","4","0.9939600229263306","65","0.006033727899193764","89","0.016697272658348083","3.000000106112566e-7","0.9976000189781188","0.006291447672992945","7","0.9926000237464904","0.9976000189781188"
"cnn6-3","1800","cnn6","3","0.994599997997284","70","0.005692719016224146","93","0.01384766586124897","3.000000106112566e-7","0.9977999925613404","0.006052460055798292","12","0.9937999844551086","0.9980000257492064"
"cnn6-2","1764","cnn6","2","0.9941999912261964","67","0.005895094480365515","92","0.01607058197259903","3.000000106112566e-7","0.9976000189781188","0.00596798537299037","9","0.9933599829673768","0.9977999925613404"
"cnn6-1","1695","cnn6","1","0.9944400191307068","62","0.0057296170853078365","87","0.016188528388738632","3.000000106112566e-7","0.998199999332428","0.005929784383624792","8","0.9931600093841552","0.9983999729156494"
"cnn6-0","2308","cnn6","0","0.995519995689392","94","0.005728532560169697","119","0.011835598386824133","3.000000106112566e-7","0.9973999857902528","0.0060937111265957355","6","0.9950000047683716","0.9976000189781188"
"cnn3-4","465","cnn3","4","0.9990000128746032","34","0.012628750875592232","59","0.002382136881351471","0.000003000000106112566","0.9944000244140624","0.014400587417185308","25","0.9965599775314332","0.9955999851226808"
"cnn3-3","540","cnn3","3","0.998960018157959","44","0.013162024319171906","69","0.0023358208127319813","3.000000106112566e-7","0.995199978351593","0.014682902954518797","25","0.9984800219535828","0.995199978351593"
"cnn3-2","653","cnn3","2","0.9992799758911132","59","0.016426708549261093","84","0.0017897725338116288","3.000000106112566e-7","0.9950000047683716","0.019244346767663956","31","0.9988800287246704","0.9950000047683716"
"cnn3-1","601","cnn3","1","0.9993199706077576","60","0.017513375729322433","77","0.0019134561298415065","3.000000106112566e-7","0.9944000244140624","0.018050458282232285","27","0.99864000082016","0.9937999844551086"
"cnn3-0","554","cnn3","0","0.9994800090789796","46","0.014264252968132496","71","0.0013582920655608175","0.000003000000106112566","0.9950000047683716","0.017643064260482788","34","0.9965999722480774","0.9959999918937684"
"cnn2-4","306","cnn2","4","0.997319996356964","40","0.02652505412697792","65","0.006478056777268648","3.000000106112566e-7","0.9900000095367432","0.02710123546421528","36","0.9959999918937684","0.989400029182434"
"cnn2-3","344","cnn2","3","0.9984800219535828","48","0.029062604531645775","73","0.004340955521911383","3.000000106112566e-7","0.9904000163078308","0.030289623886346817","50","0.9978799819946288","0.9901999831199646"
"cnn2-2","343","cnn2","2","0.9990800023078918","48","0.02118956856429577","73","0.0026680841110646725","3.000000106112566e-7","0.9929999709129332","0.021910665556788445","31","0.998199999332428","0.993399977684021"
"cnn2-1","295","cnn2","1","0.9974799752235411","37","0.026158807799220085","62","0.006891300436109304","3.000000106112566e-7","0.989199995994568","0.02763398364186287","39","0.9960799813270568","0.9904000163078308"
"cnn2-0","368","cnn2","0","0.9977200031280518","62","0.024204393848776817","79","0.0063127754256129265","3.000000248221113e-8","0.99099999666214","0.024437064304947853","34","0.9973999857902528","0.99099999666214"
